featureSet,record,task,fold,firstTrial,lastTrial,nTest,nLeft,nRight,balancedAccuracy,auc
features,VisualCogA_Task-1,1,1,1,19,16,8,8,0.5,0.5
features,VisualCogA_Task-1,1,2,21,44,16,10,6,0.533333333333333,0.533333333333333
features,VisualCogA_Task-1,1,3,45,65,16,9,7,0.523809523809524,0.603174603174603
features,VisualCogA_Task-1,1,4,66,83,16,9,7,0.293650793650794,0.349206349206349
features,VisualCogA_Task-1,1,5,84,100,16,5,11,0.481818181818182,0.490909090909091
features,VisualCogA_Task-2,2,1,1,18,18,9,9,0.444444444444444,0.54320987654321
features,VisualCogA_Task-2,2,2,19,39,19,10,9,0.522222222222222,0.622222222222222
features,VisualCogA_Task-2,2,3,40,59,18,10,8,0.6,0.675
features,VisualCogA_Task-2,2,4,60,79,19,9,10,0.638888888888889,0.588888888888889
features,VisualCogA_Task-2,2,5,80,100,19,13,6,0.596153846153846,0.653846153846154
features,VisualCogB_Task-1,1,1,1,19,17,9,8,0.465277777777778,0.597222222222222
features,VisualCogB_Task-1,1,2,20,39,17,7,10,0.707142857142857,0.7
features,VisualCogB_Task-1,1,3,40,60,18,5,13,0.646153846153846,0.769230769230769
features,VisualCogB_Task-1,1,4,62,80,17,10,7,0.435714285714286,0.457142857142857
features,VisualCogB_Task-1,1,5,81,100,18,10,8,0.3875,0.35
features,VisualCogB_Task-2,2,1,1,20,18,7,11,0.396103896103896,0.285714285714286
features,VisualCogB_Task-2,2,2,21,40,18,8,10,0.3625,0.2625
features,VisualCogB_Task-2,2,3,41,63,18,11,7,0.402597402597403,0.311688311688312
features,VisualCogB_Task-2,2,4,64,81,18,8,10,0.3875,0.25
features,VisualCogB_Task-2,2,5,83,100,18,10,8,0.6375,0.4125
spatialFeatures,VisualCogA_Task-1,1,1,1,19,16,8,8,0.5625,0.546875
spatialFeatures,VisualCogA_Task-1,1,2,21,44,16,10,6,0.416666666666667,0.45
spatialFeatures,VisualCogA_Task-1,1,3,45,65,16,9,7,0.579365079365079,0.650793650793651
spatialFeatures,VisualCogA_Task-1,1,4,66,83,16,9,7,0.30952380952381,0.317460317460317
spatialFeatures,VisualCogA_Task-1,1,5,84,100,16,5,11,0.527272727272727,0.490909090909091
spatialFeatures,VisualCogA_Task-2,2,1,1,18,18,9,9,0.5,0.45679012345679
spatialFeatures,VisualCogA_Task-2,2,2,19,39,19,10,9,0.527777777777778,0.588888888888889
spatialFeatures,VisualCogA_Task-2,2,3,40,59,18,10,8,0.4875,0.725
spatialFeatures,VisualCogA_Task-2,2,4,60,79,19,9,10,0.583333333333333,0.622222222222222
spatialFeatures,VisualCogA_Task-2,2,5,80,100,19,13,6,0.512820512820513,0.615384615384615
spatialFeatures,VisualCogB_Task-1,1,1,1,19,17,9,8,0.465277777777778,0.555555555555556
spatialFeatures,VisualCogB_Task-1,1,2,20,39,17,7,10,0.757142857142857,0.771428571428571
spatialFeatures,VisualCogB_Task-1,1,3,40,60,18,5,13,0.546153846153846,0.738461538461539
spatialFeatures,VisualCogB_Task-1,1,4,62,80,17,10,7,0.435714285714286,0.471428571428571
spatialFeatures,VisualCogB_Task-1,1,5,81,100,18,10,8,0.4,0.4125
spatialFeatures,VisualCogB_Task-2,2,1,1,20,18,7,11,0.324675324675325,0.25974025974026
spatialFeatures,VisualCogB_Task-2,2,2,21,40,18,8,10,0.3625,0.3375
spatialFeatures,VisualCogB_Task-2,2,3,41,63,18,11,7,0.402597402597403,0.285714285714286
spatialFeatures,VisualCogB_Task-2,2,4,64,81,18,8,10,0.375,0.425
spatialFeatures,VisualCogB_Task-2,2,5,83,100,18,10,8,0.425,0.2875
