record,task,trial,cueIndex,cueTime,cueDir,targetIndex,targetTime,targetDir,clickIndex,clickTime,clickDir,cueToTargetSec,targetToClickSec,inBounds,rawClipped,peakToPeak,maxJump,highPeak,highJump,accepted
VisualCogA_Task-1,1,1,5163,20.1640625,-1,5759,22.4921875,-1,NaN,NaN,NaN,2.328125,NaN,1,0,151.91882200351,52.97932402533,0,0,1
VisualCogA_Task-1,1,2,7539,29.4453125,1,8106,31.66015625,1,NaN,NaN,NaN,2.21484375,NaN,1,0,368.383306630045,26.6727702754254,0,0,1
VisualCogA_Task-1,1,3,9691,37.8515625,-1,10259,40.0703125,-1,NaN,NaN,NaN,2.21875,NaN,1,1,1116.16693369955,27.7714198519875,1,0,0
VisualCogA_Task-1,1,4,11852,46.29296875,-1,12419,48.5078125,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,301.152056153201,39.2156862745097,0,0,1
VisualCogA_Task-1,1,5,14056,54.90234375,1,14624,57.12109375,1,NaN,NaN,NaN,2.21875,NaN,1,0,229.037918669413,26.489662012665,0,0,1
VisualCogA_Task-1,1,6,16217,63.34375,-1,16784,65.55859375,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,771.343556878004,21.9424734874494,1,0,0
VisualCogA_Task-1,1,7,18369,71.75,-1,18937,73.96875,-1,NaN,NaN,NaN,2.21875,NaN,1,0,115.693904020752,26.3370717936981,0,0,1
VisualCogA_Task-1,1,8,20590,80.42578125,-1,21157,82.640625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,134.004730296788,28.4428168154421,0,0,1
VisualCogA_Task-1,1,9,22706,88.69140625,1,23273,90.90625,1,NaN,NaN,NaN,2.21484375,NaN,1,0,49.7749294270237,26.6117341878386,0,0,1
VisualCogA_Task-1,1,10,24855,97.0859375,1,25422,99.30078125,1,NaN,NaN,NaN,2.21484375,NaN,1,0,71.4427405203326,29.0836957351034,0,0,1
VisualCogA_Task-1,1,11,27103,105.8671875,1,27670,108.08203125,1,NaN,NaN,NaN,2.21484375,NaN,1,0,463.019760433356,34.7600518806742,0,0,1
VisualCogA_Task-1,1,12,29255,114.2734375,1,29823,116.4921875,1,NaN,NaN,NaN,2.21875,NaN,1,0,90.9132524605174,40.5584802014191,0,0,1
VisualCogA_Task-1,1,13,31380,122.57421875,-1,31947,124.7890625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,67.5974670023651,25.0553139543755,0,0,1
VisualCogA_Task-1,1,14,33521,130.9375,-1,34088,133.15234375,-1,NaN,NaN,NaN,2.21484375,NaN,1,1,403.784237430381,33.1425955596246,0,0,0
VisualCogA_Task-1,1,15,35677,139.359375,1,36244,141.57421875,1,NaN,NaN,NaN,2.21484375,NaN,1,0,117.586022735942,31.0978866254674,0,0,1
VisualCogA_Task-1,1,16,37790,147.61328125,-1,38357,149.828125,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,209.170672159915,29.7245746547646,0,0,1
VisualCogA_Task-1,1,17,39898,155.84765625,1,40466,158.06640625,1,NaN,NaN,NaN,2.21875,NaN,1,0,82.8259708552682,26.3675898374914,0,0,1
VisualCogA_Task-1,1,18,42111,164.4921875,-1,42678,166.70703125,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,56.2752727550163,31.0673685816739,0,0,1
VisualCogA_Task-1,1,19,44283,172.9765625,-1,44850,175.19140625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,145.235370412757,27.496757457847,0,0,1
VisualCogA_Task-1,1,20,46444,181.41796875,1,47011,183.6328125,1,NaN,NaN,NaN,2.21484375,NaN,1,1,859.235523002975,47.2114137483786,1,0,0
VisualCogA_Task-1,1,21,48580,189.76171875,-1,49148,191.98046875,-1,NaN,NaN,NaN,2.21875,NaN,1,0,157.503624017701,27.9240100709545,0,0,1
VisualCogA_Task-1,1,22,50677,197.953125,-1,51244,200.16796875,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,620.27924010071,37.5066758220798,0,0,1
VisualCogA_Task-1,1,23,52857,206.46875,1,53424,208.68359375,1,NaN,NaN,NaN,2.21484375,NaN,1,0,674.387731746395,30.5790798809796,1,0,0
VisualCogA_Task-1,1,24,55002,214.84765625,-1,55569,217.0625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,126.924544136721,41.0467689021135,0,0,1
VisualCogA_Task-1,1,25,57134,223.17578125,-1,57701,225.390625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,513.466086823835,28.6259250782025,0,0,1
VisualCogA_Task-1,1,26,59315,231.6953125,1,59882,233.91015625,1,NaN,NaN,NaN,2.21484375,NaN,1,0,124.635690852216,32.47119859617,0,0,1
VisualCogA_Task-1,1,27,61411,239.8828125,1,61979,242.1015625,1,NaN,NaN,NaN,2.21875,NaN,1,1,1132.40253299763,71.4122224765392,1,1,0
VisualCogA_Task-1,1,28,63576,248.33984375,-1,64143,250.5546875,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,266.636148622873,166.781109330892,0,1,0
VisualCogA_Task-1,1,29,65664,256.49609375,-1,66232,258.71484375,-1,NaN,NaN,NaN,2.21875,NaN,1,0,98.817425803006,26.6727702754254,0,0,1
VisualCogA_Task-1,1,30,67861,265.078125,-1,68428,267.29296875,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,78.6144808117799,34.1802090486,0,0,1
VisualCogA_Task-1,1,31,69977,273.34375,-1,70545,275.5625,-1,NaN,NaN,NaN,2.21875,NaN,1,0,245.304036011292,22.4002441443504,0,0,1
VisualCogA_Task-1,1,32,72082,281.56640625,1,72649,283.78125,1,NaN,NaN,NaN,2.21484375,NaN,1,0,90.3944457160296,27.1610589761196,0,0,1
VisualCogA_Task-1,1,33,74270,290.11328125,1,74838,292.33203125,1,NaN,NaN,NaN,2.21875,NaN,1,0,67.1396963454645,22.8885328450447,0,0,1
VisualCogA_Task-1,1,34,76423,298.5234375,-1,76990,300.73828125,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,104.280155642023,26.3675898374913,0,0,1
VisualCogA_Task-1,1,35,78675,307.3203125,1,79242,309.53515625,1,NaN,NaN,NaN,2.21484375,NaN,1,0,84.1687647821774,21.515220874342,0,0,1
VisualCogA_Task-1,1,36,80792,315.58984375,-1,81359,317.8046875,-1,NaN,NaN,NaN,2.21484375,NaN,1,1,739.269092851148,30.3349355306325,1,0,0
VisualCogA_Task-1,1,37,82932,323.94921875,-1,83500,326.16796875,-1,NaN,NaN,NaN,2.21875,NaN,1,0,357.305256733043,219.150072480354,0,1,0
VisualCogA_Task-1,1,38,85077,332.328125,-1,85644,334.54296875,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,120.576791027695,20.1419089036394,0,0,1
VisualCogA_Task-1,1,39,87205,340.640625,-1,87773,342.859375,-1,NaN,NaN,NaN,2.21875,NaN,1,1,942.061493858244,26.7948424505987,1,0,0
VisualCogA_Task-1,1,40,89354,349.03515625,-1,89921,351.25,-1,NaN,NaN,NaN,2.21484375,NaN,1,1,581.857022964828,21.6983291371023,0,0,0
VisualCogA_Task-1,1,41,91454,357.23828125,-1,92022,359.45703125,-1,NaN,NaN,NaN,2.21875,NaN,1,0,893.842984664683,28.0766002899213,1,0,0
VisualCogA_Task-1,1,42,93555,365.4453125,1,94123,367.6640625,1,NaN,NaN,NaN,2.21875,NaN,1,0,195.193408102541,27.191577019913,0,0,1
VisualCogA_Task-1,1,43,95699,373.8203125,-1,96267,376.0390625,-1,NaN,NaN,NaN,2.21875,NaN,1,0,184.084840161746,23.7125200274662,0,0,1
VisualCogA_Task-1,1,44,97880,382.33984375,1,98447,384.5546875,1,NaN,NaN,NaN,2.21484375,NaN,1,0,151.308461127642,28.1681544213016,0,0,1
VisualCogA_Task-1,1,45,99996,390.60546875,-1,100564,392.82421875,-1,NaN,NaN,NaN,2.21875,NaN,1,0,345.067521171893,29.663538567178,0,0,1
VisualCogA_Task-1,1,46,102097,398.8125,-1,102664,401.02734375,-1,NaN,NaN,NaN,2.21484375,NaN,1,1,351.354238193332,34.2412451361868,0,0,0
VisualCogA_Task-1,1,47,104234,407.16015625,-1,104801,409.375,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,71.1375600823987,25.6046387426567,0,0,1
VisualCogA_Task-1,1,48,106422,415.70703125,1,106989,417.921875,1,NaN,NaN,NaN,2.21484375,NaN,1,0,167.208361943999,28.442816815442,0,0,1
VisualCogA_Task-1,1,49,108594,424.19140625,-1,109162,426.41015625,-1,NaN,NaN,NaN,2.21875,NaN,1,0,61.4938582436866,20.7827878233005,0,0,1
VisualCogA_Task-1,1,50,110727,432.5234375,-1,111294,434.73828125,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,142.824444953079,28.0155642023344,0,0,1
VisualCogA_Task-1,1,51,112836,440.76171875,1,113403,442.9765625,1,NaN,NaN,NaN,2.21484375,NaN,1,0,387.090867475395,24.5365072098878,0,0,1
VisualCogA_Task-1,1,52,114984,449.15234375,1,115552,451.37109375,1,NaN,NaN,NaN,2.21875,NaN,1,0,1117.84542610819,37.0489051651791,1,0,0
VisualCogA_Task-1,1,53,117149,457.609375,1,117716,459.82421875,1,NaN,NaN,NaN,2.21484375,NaN,1,1,1219.4094758526,43.2440680552374,1,0,0
VisualCogA_Task-1,1,54,119265,465.875,-1,119833,468.09375,-1,NaN,NaN,NaN,2.21875,NaN,1,0,844.861524376288,27.4357213702601,1,0,0
VisualCogA_Task-1,1,55,121418,474.28515625,1,121985,476.5,1,NaN,NaN,NaN,2.21484375,NaN,1,0,136.53772793164,24.4144350347143,0,0,1
VisualCogA_Task-1,1,56,123542,482.58203125,-1,124110,484.80078125,-1,NaN,NaN,NaN,2.21875,NaN,1,0,225.467307545586,32.3186083772031,0,0,1
VisualCogA_Task-1,1,57,125703,491.0234375,-1,126270,493.23828125,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,180.117494468605,29.8161287861451,0,0,1
VisualCogA_Task-1,1,58,127863,499.4609375,1,128430,501.67578125,1,NaN,NaN,NaN,2.21484375,NaN,1,0,120.302128633554,25.8182650492104,0,0,1
VisualCogA_Task-1,1,59,130028,507.91796875,1,130595,510.1328125,1,NaN,NaN,NaN,2.21484375,NaN,1,0,193.667505912871,25.1468680857558,0,0,1
VisualCogA_Task-1,1,60,132176,516.30859375,-1,132743,518.5234375,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,228.274967574578,33.6614023041122,0,0,1
VisualCogA_Task-1,1,61,134337,524.75,1,134904,526.96484375,1,NaN,NaN,NaN,2.21484375,NaN,1,0,110.383764400702,26.4591439688717,0,0,1
VisualCogA_Task-1,1,62,136657,533.8125,-1,137224,536.02734375,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,158.052948805981,29.8771648737317,0,0,1
VisualCogA_Task-1,1,63,138789,542.140625,1,139357,544.359375,1,NaN,NaN,NaN,2.21875,NaN,1,0,425.757228961624,33.2341496910046,0,0,1
VisualCogA_Task-1,1,64,140942,550.55078125,1,141509,552.765625,1,NaN,NaN,NaN,2.21484375,NaN,1,0,424.811169604028,71.4732585641259,0,1,0
VisualCogA_Task-1,1,65,143038,558.73828125,-1,143606,560.95703125,-1,NaN,NaN,NaN,2.21875,NaN,1,0,70.1609826810101,30.2128633554588,0,0,1
VisualCogA_Task-1,1,66,145215,567.2421875,1,145782,569.45703125,1,NaN,NaN,NaN,2.21484375,NaN,1,0,209.597924773022,33.2341496910046,0,0,1
VisualCogA_Task-1,1,67,147339,575.5390625,-1,147907,577.7578125,-1,NaN,NaN,NaN,2.21875,NaN,1,0,169.28358892195,32.1965362020295,0,0,1
VisualCogA_Task-1,1,68,149496,583.96484375,-1,150063,586.1796875,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,146.181429770352,40.7110704203862,0,0,1
VisualCogA_Task-1,1,69,151612,592.23046875,1,152180,594.44921875,1,NaN,NaN,NaN,2.21875,NaN,1,0,142.458228427558,40.9857328145265,0,0,1
VisualCogA_Task-1,1,70,153761,600.625,1,154328,602.83984375,1,NaN,NaN,NaN,2.21484375,NaN,1,0,97.7492942702373,31.0673685816739,0,0,1
VisualCogA_Task-1,1,71,155890,608.94140625,-1,156457,611.15625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,153.658350499733,48.4321355001143,0,0,1
VisualCogA_Task-1,1,72,158018,617.25390625,1,158585,619.46875,1,NaN,NaN,NaN,2.21484375,NaN,1,0,114.473182269017,36.4385442893109,0,0,1
VisualCogA_Task-1,1,73,160091,625.3515625,-1,160658,627.56640625,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,156.221866178378,33.0815594720378,0,0,1
VisualCogA_Task-1,1,74,162255,633.8046875,1,162822,636.01953125,1,NaN,NaN,NaN,2.21484375,NaN,1,0,370.000762951095,23.2852674143587,0,0,1
VisualCogA_Task-1,1,75,164368,642.05859375,-1,164935,644.2734375,-1,NaN,NaN,NaN,2.21484375,NaN,1,0,185.976958876936,25.9403372243839,0,0,1
VisualCogA_Task-1,1,76,166496,650.37109375,1,167064,652.58984375,1,NaN,NaN,NaN,2.21875,NaN,1,0,187.533379110399,31.8303196765088,0,0,1
