record,task,trial,cueIndex,cueDir,accepted,train,guard,validation,reference,qualityScore
VisualCogA_Task-1,1,1,5163,-1,1,1,0,0,0,2.90867901522934
VisualCogA_Task-1,1,2,7539,1,1,1,0,0,0,3.955680705191
VisualCogA_Task-1,1,3,9691,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,4,11852,-1,1,1,0,0,0,3.4523002271729
VisualCogA_Task-1,1,5,14056,1,1,1,0,0,0,2.83079416913019
VisualCogA_Task-1,1,6,16217,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,7,18369,-1,1,1,0,0,1,1.72256158874939
VisualCogA_Task-1,1,8,20590,-1,1,1,0,0,1,1.92267283042656
VisualCogA_Task-1,1,9,22706,1,1,1,0,0,1,1.39707503972639
VisualCogA_Task-1,1,10,24855,1,1,1,0,0,1,1.663601552747
VisualCogA_Task-1,1,11,27103,1,1,1,0,0,0,5.01818896984829
VisualCogA_Task-1,1,12,29255,1,1,1,0,0,1,2.25002689515596
VisualCogA_Task-1,1,13,31380,-1,1,1,0,0,1,1.34633520224161
VisualCogA_Task-1,1,14,33521,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,15,35677,1,1,1,0,0,1,2.10934169623266
VisualCogA_Task-1,1,16,37790,-1,1,1,0,0,1,2.48528291098772
VisualCogA_Task-1,1,17,39898,1,1,1,0,0,1,1.65310291655554
VisualCogA_Task-1,1,18,42111,-1,1,1,0,0,1,1.47975103869154
VisualCogA_Task-1,1,19,44283,-1,1,1,0,0,1,1.9667381974249
VisualCogA_Task-1,1,20,46444,1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,21,48580,-1,1,1,0,0,1,2.06623118428422
VisualCogA_Task-1,1,22,50677,-1,1,1,0,0,0,5.58952474958221
VisualCogA_Task-1,1,23,52857,1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,24,55002,-1,1,1,0,0,1,2.31705614029709
VisualCogA_Task-1,1,25,57134,-1,1,1,0,0,0,4.54184436626513
VisualCogA_Task-1,1,26,59315,1,1,1,0,0,1,2.21739130434782
VisualCogA_Task-1,1,27,61411,1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,28,63576,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,29,65664,-1,1,1,0,0,1,1.61816328131834
VisualCogA_Task-1,1,30,67861,-1,1,1,0,0,1,1.7430069252115
VisualCogA_Task-1,1,31,69977,-1,1,1,0,0,1,2.4765639443494
VisualCogA_Task-1,1,32,72082,1,1,1,0,0,1,1.74357597993621
VisualCogA_Task-1,1,33,74270,1,1,1,0,0,1,1.39681113100855
VisualCogA_Task-1,1,34,76423,-1,1,1,0,0,1,1.64504661148021
VisualCogA_Task-1,1,35,78675,1,1,1,0,0,1,1.48195447098349
VisualCogA_Task-1,1,36,80792,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,37,82932,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,38,85077,-1,1,1,0,0,1,1.5383709384613
VisualCogA_Task-1,1,39,87205,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,40,89354,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,41,91454,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,42,93555,1,1,1,0,0,1,2.5855624561553
VisualCogA_Task-1,1,43,95699,-1,1,1,0,0,1,2.10118415795867
VisualCogA_Task-1,1,44,97880,1,1,1,0,0,1,2.27006994981813
VisualCogA_Task-1,1,45,99996,-1,1,1,0,0,0,3.4188377657152
VisualCogA_Task-1,1,46,102097,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,47,104234,-1,1,1,0,0,1,1.39002337563253
VisualCogA_Task-1,1,48,106422,1,1,1,0,0,1,2.40793844147053
VisualCogA_Task-1,1,49,108594,-1,1,1,0,0,1,1.15409497432919
VisualCogA_Task-1,1,50,110727,-1,1,1,0,0,1,1.96837841469562
VisualCogA_Task-1,1,51,112836,1,1,1,0,0,0,4.02568711520317
VisualCogA_Task-1,1,52,114984,1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,53,117149,1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,54,119265,-1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,55,121418,1,1,1,0,0,1,2.01082642090471
VisualCogA_Task-1,1,56,123542,-1,1,1,0,0,1,2.68869307487868
VisualCogA_Task-1,1,57,125703,-1,1,1,0,0,1,2.28845976947226
VisualCogA_Task-1,1,58,127863,1,1,1,0,0,1,1.93319355323111
VisualCogA_Task-1,1,59,130028,1,1,1,0,0,1,2.49666051813519
VisualCogA_Task-1,1,60,132176,-1,1,1,0,0,1,2.75523516770121
VisualCogA_Task-1,1,61,134337,1,1,0,1,0,0,NaN
VisualCogA_Task-1,1,62,136657,-1,1,0,1,0,0,NaN
VisualCogA_Task-1,1,63,138789,1,1,0,1,0,0,NaN
VisualCogA_Task-1,1,64,140942,1,0,0,0,0,0,NaN
VisualCogA_Task-1,1,65,143038,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,66,145215,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,67,147339,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,68,149496,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,69,151612,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,70,153761,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,71,155890,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,72,158018,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,73,160091,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,74,162255,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,75,164368,-1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,76,166496,1,1,0,0,1,0,NaN
VisualCogA_Task-1,1,77,168597,-1,0,0,0,0,0,NaN
