record,task,channel,highpass,variant,half_width_sec,target_replaced,click_replaced,n_accepted,modified_samples,modified_fraction,delta_huber_250_500,delta_fit_250_500,change_huber,change_fit
A,1,Fz,0.1,original,0,0,0,80,0,0,-3.9733765851377,-3.95297979592288,0,0
A,1,F3,0.1,original,0,0,0,80,0,0,12.3751583854319,12.3918230623673,0,0
A,1,F4,0.1,original,0,0,0,80,0,0,10.898727452071,10.9285641281146,0,0
A,1,Fz,0.1,both_015,0.15,1,1,80,7700,0.0343988027429695,-3.97484346601232,-3.95436994299409,-0.00146688087461833,-0.00139014707120744
A,1,F3,0.1,both_015,0.15,1,1,80,7700,0.0343988027429695,12.3434483618031,12.3606285745341,-0.0317100236288574,-0.031194487833254
A,1,F4,0.1,both_015,0.15,1,1,80,7700,0.0343988027429695,10.8763148630605,10.9066093787669,-0.0224125890105764,-0.0219547493477315
A,1,Fz,0.1,both_030,0.3,1,1,80,15500,0.0692443431838996,-4.04292928070927,-4.02289941593437,-0.0695526955715691,-0.0699196200114827
A,1,F3,0.1,both_030,0.3,1,1,80,15500,0.0692443431838996,12.3326554672081,12.3489613912382,-0.042502918223807,-0.0428616711290832
A,1,F4,0.1,both_030,0.3,1,1,80,15500,0.0692443431838996,10.9108710832384,10.938776592969,0.0121436311673815,0.0102124648543818
A,1,Fz,0.1,target_030,0.3,1,0,80,15500,0.0692443431838996,-4.04292928070927,-4.02289941593437,-0.0695526955715691,-0.0699196200114827
A,1,F3,0.1,target_030,0.3,1,0,80,15500,0.0692443431838996,12.3326554672081,12.3489613912382,-0.042502918223807,-0.0428616711290832
A,1,F4,0.1,target_030,0.3,1,0,80,15500,0.0692443431838996,10.9108710832384,10.938776592969,0.0121436311673815,0.0102124648543818
A,1,Fz,0.5,original,0,0,0,80,0,0,0.544267107158222,0.571761674095901,0,0
A,1,F3,0.5,original,0,0,0,80,0,0,-0.0368020710321452,-0.0282680117991331,0,0
A,1,F4,0.5,original,0,0,0,80,0,0,2.44012485105202,2.45266325678771,0,0
A,1,Fz,0.5,both_015,0.15,1,1,80,7700,0.0343988027429695,0.551153542825667,0.578662181478223,0.00688643566744518,0.00690050738232173
A,1,F3,0.5,both_015,0.15,1,1,80,7700,0.0343988027429695,-0.0181890027246323,-0.00972677522384086,0.0186130683075129,0.0185412365752922
A,1,F4,0.5,both_015,0.15,1,1,80,7700,0.0343988027429695,2.46067115702097,2.47364909525147,0.0205463059689506,0.020985838463754
A,1,Fz,0.5,both_030,0.3,1,1,80,15500,0.0692443431838996,0.594233609413807,0.621664965215784,0.049966502255585,0.0499032911198836
A,1,F3,0.5,both_030,0.3,1,1,80,15500,0.0692443431838996,0.0140577286175781,0.0229467965642926,0.0508597996497233,0.0512148083634257
A,1,F4,0.5,both_030,0.3,1,1,80,15500,0.0692443431838996,2.52579946609297,2.53699660961151,0.085674615040952,0.0843333528238004
A,1,Fz,0.5,target_030,0.3,1,0,80,15500,0.0692443431838996,0.594233609413807,0.621664965215784,0.049966502255585,0.0499032911198836
A,1,F3,0.5,target_030,0.3,1,0,80,15500,0.0692443431838996,0.0140577286175781,0.0229467965642926,0.0508597996497233,0.0512148083634257
A,1,F4,0.5,target_030,0.3,1,0,80,15500,0.0692443431838996,2.52579946609297,2.53699660961151,0.085674615040952,0.0843333528238004
A,2,Fz,0.1,original,0,0,0,93,0,0,27.8750637717488,27.8705475714928,0,0
A,2,F3,0.1,original,0,0,0,93,0,0,61.3263000190524,61.3335755861694,0,0
A,2,F4,0.1,original,0,0,0,93,0,0,37.264905447395,37.2812602188732,0,0
A,2,Fz,0.1,both_015,0.15,1,1,93,15400,0.0669108478125801,27.8729343832819,27.8684397389343,-0.0021293884669582,-0.00210783255844404
A,2,F3,0.1,both_015,0.15,1,1,93,15400,0.0669108478125801,61.119896607213,61.1284298312411,-0.206403411839453,-0.205145754928239
A,2,F4,0.1,both_015,0.15,1,1,93,15400,0.0669108478125801,37.2206063218208,37.2370286495511,-0.0442991255742484,-0.0442315693221573
A,2,Fz,0.1,both_030,0.3,1,1,93,31000,0.134690667674674,27.8993068754683,27.8945899494304,0.0242431037194244,0.0240423779376542
A,2,F3,0.1,both_030,0.3,1,1,93,31000,0.134690667674674,61.3946479942884,61.4044942004784,0.0683479752359943,0.070918614309015
A,2,F4,0.1,both_030,0.3,1,1,93,31000,0.134690667674674,37.6059043179761,37.6202267802349,0.340998870581089,0.338966561361651
A,2,Fz,0.1,target_030,0.3,1,0,93,15500,0.0673453338373371,27.9815421166986,27.9775846620621,0.106478344949785,0.107037090569371
A,2,F3,0.1,target_030,0.3,1,0,93,15500,0.0673453338373371,61.2434488580594,61.2537581669882,-0.0828511609930018,-0.0798174191811967
A,2,F4,0.1,target_030,0.3,1,0,93,15500,0.0673453338373371,37.715297123977,37.7299325309171,0.45039167658198,0.448672312043904
A,2,Fz,0.1,click_030,0.3,0,1,93,15500,0.0673453338373371,27.791408092628,27.7865108286906,-0.0836556791208487,-0.0840367428021374
A,2,F3,0.1,click_030,0.3,0,1,93,15500,0.0673453338373371,61.4824072151425,61.4891673011159,0.156107196090097,0.155591714946532
A,2,F4,0.1,click_030,0.3,0,1,93,15500,0.0673453338373371,37.1559455880897,37.1719462901152,-0.108959859305365,-0.109313928758063
A,2,Fz,0.5,original,0,0,0,93,0,0,3.92100061789529,3.93603956990391,0,0
A,2,F3,0.5,original,0,0,0,93,0,0,18.5335052512627,18.5376391254823,0,0
A,2,F4,0.5,original,0,0,0,93,0,0,0.00895780060882143,0.0253035688615928,0,0
A,2,Fz,0.5,both_015,0.15,1,1,93,15400,0.0669108478125801,3.91765373321732,3.93272555776714,-0.0033468846779745,-0.00331401213676763
A,2,F3,0.5,both_015,0.15,1,1,93,15400,0.0669108478125801,18.5253378303233,18.5294024804896,-0.00816742093942935,-0.00823664499279531
